English,Spanish,French,German,Hindi
Hello,[Spanish] Hello,[French] Hello,[German] Hello,[Hindi] Hello
Good morning,[Spanish] Good morning,[French] Good morning,[German] Good morning,[Hindi] Good morning
Thank you,[Spanish] Thank you,[French] Thank you,[German] Thank you,[Hindi] Thank you
Yes,[Spanish] Yes,[French] Yes,[German] Yes,[Hindi] Yes
No,[Spanish] No,[French] No,[German] No,[Hindi] No
How are you?,[Spanish] How are you?,[French] How are you?,[German] How are you?,[Hindi] How are you?
I am fine,[Spanish] I am fine,[French] I am fine,[German] I am fine,[Hindi] I am fine
What is your name?,[Spanish] What is your name?,[French] What is your name?,[German] What is your name?,[Hindi] What is your name?
Nice to meet you,[Spanish] Nice to meet you,[French] Nice to meet you,[German] Nice to meet you,[Hindi] Nice to meet you
Good night,[Spanish] Good night,[French] Good night,[German] Good night,[Hindi] Good night
Where are you from?,[Spanish] Where are you from?,[French] Where are you from?,[German] Where are you from?,[Hindi] Where are you from?
I love you,[Spanish] I love you,[French] I love you,[German] I love you,[Hindi] I love you
Help me,[Spanish] Help me,[French] Help me,[German] Help me,[Hindi] Help me
I don’t understand,[Spanish] I don’t understand,[French] I don’t understand,[German] I don’t understand,[Hindi] I don’t understand
See you later,[Spanish] See you later,[French] See you later,[German] See you later,[Hindi] See you later
Goodbye,[Spanish] Goodbye,[French] Goodbye,[German] Goodbye,[Hindi] Goodbye
Please,[Spanish] Please,[French] Please,[German] Please,[Hindi] Please
Sorry,[Spanish] Sorry,[French] Sorry,[German] Sorry,[Hindi] Sorry
Excuse me,[Spanish] Excuse me,[French] Excuse me,[German] Excuse me,[Hindi] Excuse me
What time is it?,[Spanish] What time is it?,[French] What time is it?,[German] What time is it?,[Hindi] What time is it?
I need water,[Spanish] I need water,[French] I need water,[German] I need water,[Hindi] I need water
I’m hungry,[Spanish] I’m hungry,[French] I’m hungry,[German] I’m hungry,[Hindi] I’m hungry
I’m tired,[Spanish] I’m tired,[French] I’m tired,[German] I’m tired,[Hindi] I’m tired
Can you help me?,[Spanish] Can you help me?,[French] Can you help me?,[German] Can you help me?,[Hindi] Can you help me?
Call the police,[Spanish] Call the police,[French] Call the police,[German] Call the police,[Hindi] Call the police
I’m lost,[Spanish] I’m lost,[French] I’m lost,[German] I’m lost,[Hindi] I’m lost
I speak English,[Spanish] I speak English,[French] I speak English,[German] I speak English,[Hindi] I speak English
Do you speak English?,[Spanish] Do you speak English?,[French] Do you speak English?,[German] Do you speak English?,[Hindi] Do you speak English?
I don’t speak Hindi,[Spanish] I don’t speak Hindi,[French] I don’t speak Hindi,[German] I don’t speak Hindi,[Hindi] I don’t speak Hindi
What is this?,[Spanish] What is this?,[French] What is this?,[German] What is this?,[Hindi] What is this?
Where is the bathroom?,[Spanish] Where is the bathroom?,[French] Where is the bathroom?,[German] Where is the bathroom?,[Hindi] Where is the bathroom?
How much is this?,[Spanish] How much is this?,[French] How much is this?,[German] How much is this?,[Hindi] How much is this?
Too expensive,[Spanish] Too expensive,[French] Too expensive,[German] Too expensive,[Hindi] Too expensive
Cheap,[Spanish] Cheap,[French] Cheap,[German] Cheap,[Hindi] Cheap
Beautiful,[Spanish] Beautiful,[French] Beautiful,[German] Beautiful,[Hindi] Beautiful
I like it,[Spanish] I like it,[French] I like it,[German] I like it,[Hindi] I like it
I don’t like it,[Spanish] I don’t like it,[French] I don’t like it,[German] I don’t like it,[Hindi] I don’t like it
